orderid,Customer Name,shipmode,sales,quantity,discount,profit,segment,region,state,subcategory,category,preparationtime,orderdate,shipdate
125,Kean Nguyen,First Class,156.3728,2,0.32,-52.8908,Consumer,Central,Texas,Bookcases                                         ,Furniture,3,2015-08-29,2015-09-01
126,Toby Swindell,Second Class,275.952,3,0.2,-37.9434,Home Office,East,New York,Bookcases                                         ,Furniture,4,2013-11-25,2013-11-29
127,Neola Schneider,Standard Class,293.199,3,0.15,-20.6964,Consumer,West,California,Bookcases                                         ,Furniture,4,2014-09-05,2014-09-09
128,Neola Schneider,Standard Class,459.92,4,0.0,41.3928,Consumer,Central,Wisconsin,Bookcases                                         ,Furniture,5,2016-12-08,2016-12-13
129,Alice McCarthy,First Class,883.92,5,0.2,-110.49,Consumer,East,New York,Bookcases                                         ,Furniture,2,2013-12-02,2013-12-04
131,Eugene Moren,Standard Class,300.5328,2,0.32,-97.2312,Home Office,Central,Texas,Bookcases                                         ,Furniture,5,2013-09-25,2013-09-30
132,Duane Huffman,Standard Class,353.568,2,0.2,-44.196,Consumer,East,New York,Bookcases                                         ,Furniture,5,2015-06-22,2015-06-27
133,Sean O'Donnell,Standard Class,176.784,1,0.2,-22.098,Consumer,East,New York,Bookcases                                         ,Furniture,6,2015-03-11,2015-03-17
134,Carlos Daly,Standard Class,353.568,2,0.2,-44.196,Consumer,East,New York,Bookcases                                         ,Furniture,5,2013-06-04,2013-06-09
135,Carlos Daly,Second Class,1292.94,3,0.0,77.5764,Corporate,West,Utah,Bookcases                                         ,Furniture,4,2016-09-17,2016-09-21
137,David Kendrick,First Class,61.96,4,0.5,-53.2856,Corporate,East,Pennsylvania,Bookcases                                         ,Furniture,1,2013-01-14,2013-01-15
138,Edward Nazzal,Standard Class,198.272,8,0.2,-32.2192,Corporate,South,North Carolina,Bookcases                                         ,Furniture,4,2016-04-14,2016-04-18
139,Sanjit Jacobs,Second Class,61.96,2,0.0,4.3372,Home Office,South,Virginia,Bookcases                                         ,Furniture,5,2014-09-19,2014-09-24
140,Sanjit Jacobs,Standard Class,323.136,4,0.2,12.1176,Consumer,East,New York,Bookcases                                         ,Furniture,4,2016-12-30,2017-01-03
141,Karen Carlisle,Standard Class,205.9992,3,0.32,-27.2646,Corporate,Central,Texas,Bookcases                                         ,Furniture,6,2016-11-13,2016-11-19
142,Meg O'Connel,Standard Class,257.499,3,0.15,24.2352,Consumer,West,California,Bookcases                                         ,Furniture,4,2015-04-18,2015-04-22
143,Anthony O'Donnell,Standard Class,242.352,3,0.2,9.0882,Consumer,East,New York,Bookcases                                         ,Furniture,5,2016-04-14,2016-04-19
144,Anthony O'Donnell,First Class,141.372,2,0.3,-14.1372,Corporate,Central,Illinois,Bookcases                                         ,Furniture,1,2015-12-24,2015-12-25
145,Luke Foster,Standard Class,302.94,3,0.0,69.6762,Consumer,South,Virginia,Bookcases                                         ,Furniture,6,2016-07-21,2016-07-27
146,Luke Foster,Standard Class,405.86,7,0.0,32.4688,Consumer,Central,Wisconsin,Bookcases                                         ,Furniture,4,2015-12-09,2015-12-13
148,Phillina Ober,Standard Class,173.94,3,0.0,13.9152,Home Office,East,Massachusetts,Bookcases                                         ,Furniture,6,2015-09-09,2015-09-15
149,Claudia Miner,First Class,424.116,6,0.3,-30.294,Consumer,Central,Illinois,Bookcases                                         ,Furniture,3,2013-11-18,2013-11-21
151,Mike Vittorini,Standard Class,504.9,5,0.0,126.225,Consumer,South,Mississippi,Bookcases                                         ,Furniture,6,2015-07-20,2015-07-26
152,Mike Vittorini,First Class,302.94,3,0.0,75.735,Corporate,South,Georgia,Bookcases                                         ,Furniture,1,2016-05-18,2016-05-19
153,Stefania Perrino,Standard Class,441.96,2,0.0,101.6508,Corporate,East,Delaware,Bookcases                                         ,Furniture,6,2016-03-02,2016-03-08
154,Stefania Perrino,Second Class,220.98,1,0.0,50.8254,Corporate,East,Rhode Island,Bookcases                                         ,Furniture,5,2016-12-22,2016-12-27
156,Maureen Gastineau,Standard Class,586.398,6,0.15,34.494,Corporate,West,California,Bookcases                                         ,Furniture,5,2014-08-21,2014-08-26
158,Maureen Gastineau,Standard Class,120.666,2,0.15,21.294,Home Office,West,California,Bookcases                                         ,Furniture,4,2015-10-18,2015-10-22
159,Kelly Lampkin,First Class,482.664,8,0.15,85.176,Corporate,West,California,Bookcases                                         ,Furniture,2,2016-04-01,2016-04-03
160,Neola Schneider,Standard Class,198.744,4,0.3,0.0,Consumer,Central,Illinois,Bookcases                                         ,Furniture,4,2015-09-04,2015-09-08
161,Allen Rosenblatt,Standard Class,307.666,2,0.15,-14.4784,Consumer,West,California,Bookcases                                         ,Furniture,6,2016-10-07,2016-10-13
162,Max Jones,Standard Class,369.1992,3,0.32,-114.0174,Corporate,Central,Texas,Bookcases                                         ,Furniture,4,2014-08-06,2014-08-10
163,Hallie Redmond,Second Class,246.1328,2,0.32,-76.0116,Corporate,Central,Texas,Bookcases                                         ,Furniture,5,2014-11-21,2014-11-26
164,Matt Collins,Standard Class,723.92,5,0.2,-81.441,Consumer,South,Florida,Bookcases                                         ,Furniture,5,2016-11-25,2016-11-30
165,Matt Collins,Second Class,435.999,3,0.15,5.1294,Consumer,West,California,Bookcases                                         ,Furniture,2,2016-06-30,2016-07-02
166,Sanjit Jacobs,First Class,341.96,2,0.0,54.7136,Consumer,Central,Oklahoma,Bookcases                                         ,Furniture,2,2015-11-11,2015-11-13
167,Anthony Witt,Standard Class,359.058,3,0.3,-71.8116,Consumer,Central,Illinois,Bookcases                                         ,Furniture,5,2014-12-20,2014-12-25
168,Jim Epp,First Class,290.666,2,0.15,3.4196,Consumer,West,California,Bookcases                                         ,Furniture,2,2013-01-31,2013-02-02
169,Sean O'Donnell,Standard Class,203.983,2,0.15,16.7986,Home Office,West,California,Bookcases                                         ,Furniture,4,2016-02-11,2016-02-15
170,Sean O'Donnell,First Class,359.97,3,0.0,79.1934,Consumer,South,Virginia,Bookcases                                         ,Furniture,3,2016-02-07,2016-02-10
171,Harold Dahlen,First Class,305.9745,3,0.15,25.1979,Corporate,West,California,Bookcases                                         ,Furniture,2,2013-11-16,2013-11-18
174,Stuart Calhoun,Standard Class,191.984,2,0.2,4.7996,Consumer,East,New York,Bookcases                                         ,Furniture,4,2016-12-25,2016-12-29
176,Sylvia Foulston,Standard Class,509.9575,5,0.15,41.9965,Corporate,West,California,Bookcases                                         ,Furniture,5,2014-05-14,2014-05-19
177,Thea Hendricks,Standard Class,287.976,3,0.2,7.1994,Corporate,East,New York,Bookcases                                         ,Furniture,5,2016-12-13,2016-12-18
179,Ionia McGrath,First Class,239.666,2,0.15,14.098,Consumer,West,California,Bookcases                                         ,Furniture,2,2015-06-18,2015-06-20
180,Guy Armstrong,First Class,493.43,5,0.3,-70.49,Consumer,Central,Illinois,Bookcases                                         ,Furniture,3,2013-09-20,2013-09-23
181,Aaron Smayling,First Class,383.4656,4,0.32,-67.6704,Home Office,Central,Texas,Bookcases                                         ,Furniture,3,2014-03-19,2014-03-22
183,Sung Shariari,Second Class,239.666,2,0.15,14.098,Consumer,West,California,Bookcases                                         ,Furniture,4,2016-09-03,2016-09-07
185,Lela Donovan,Standard Class,119.833,1,0.15,7.049,Home Office,West,California,Bookcases                                         ,Furniture,5,2013-07-09,2013-07-14
187,Lela Donovan,Standard Class,1406.86,7,0.0,140.686,Consumer,West,Utah,Bookcases                                         ,Furniture,4,2014-05-31,2014-06-04
188,Nicole Brennan,Standard Class,683.332,4,0.15,-40.196,Consumer,West,California,Bookcases                                         ,Furniture,4,2014-11-13,2014-11-17
189,Tanja Norvell,Standard Class,512.499,3,0.15,-30.147,Consumer,West,California,Bookcases                                         ,Furniture,4,2014-11-02,2014-11-06
190,Harold Dahlen,Standard Class,160.98,1,0.0,20.9274,Corporate,Central,Michigan,Bookcases                                         ,Furniture,7,2014-12-25,2015-01-01
191,Emily Grady,Standard Class,328.3992,3,0.32,-91.7586,Consumer,Central,Texas,Bookcases                                         ,Furniture,5,2016-10-19,2016-10-24
192,Emily Grady,First Class,141.96,2,0.0,39.7488,Corporate,Central,South Dakota,Bookcases                                         ,Furniture,3,2013-01-26,2013-01-29
193,Sally Matthias,Standard Class,120.666,2,0.15,18.4548,Consumer,West,California,Bookcases                                         ,Furniture,5,2014-10-03,2014-10-08
194,Sally Matthias,First Class,241.332,5,0.32,-14.196,Consumer,Central,Texas,Bookcases                                         ,Furniture,3,2015-03-15,2015-03-18
195,Lena Creighton,First Class,177.45,5,0.5,-78.078,Consumer,East,Pennsylvania,Bookcases                                         ,Furniture,1,2015-07-29,2015-07-30
196,Lena Creighton,First Class,141.96,2,0.0,39.7488,Consumer,West,Washington,Bookcases                                         ,Furniture,2,2014-03-13,2014-03-15
197,Mitch Willingham,Second Class,35.49,1,0.5,-15.6156,Consumer,East,Ohio,Bookcases                                         ,Furniture,3,2014-10-03,2014-10-06
199,Justin Knight,First Class,199.98,2,0.0,37.9962,Consumer,West,Washington,Bookcases                                         ,Furniture,3,2016-10-30,2016-11-02
201,Janet Lee,Second Class,254.9745,3,0.15,11.9988,Consumer,West,California,Bookcases                                         ,Furniture,2,2013-12-12,2013-12-14
202,Janet Lee,Standard Class,299.97,3,0.0,56.9943,Consumer,East,Delaware,Bookcases                                         ,Furniture,6,2014-11-13,2014-11-19
203,Jim Radford,Standard Class,67.9932,1,0.32,-12.9987,Corporate,Central,Texas,Bookcases                                         ,Furniture,4,2013-11-12,2013-11-16
204,Jim Radford,Standard Class,424.9575,5,0.15,19.998,Corporate,West,California,Bookcases                                         ,Furniture,5,2015-09-27,2015-10-02
207,Corey Catlett,Second Class,687.4,5,0.0,48.118,Home Office,Central,Wisconsin,Bookcases                                         ,Furniture,4,2014-08-09,2014-08-13
208,Corey Catlett,Second Class,579.136,4,0.2,21.7176,Corporate,East,New York,Bookcases                                         ,Furniture,4,2015-07-15,2015-07-19
209,Corey Catlett,Standard Class,289.568,2,0.2,10.8588,Corporate,South,Florida,Bookcases                                         ,Furniture,5,2015-11-21,2015-11-26
213,Carlos Soltero,Standard Class,361.96,2,0.0,83.2508,Corporate,East,Massachusetts,Bookcases                                         ,Furniture,4,2014-09-10,2014-09-14
214,Carlos Soltero,Standard Class,307.666,2,0.15,28.9568,Consumer,West,California,Bookcases                                         ,Furniture,7,2014-08-28,2014-09-04
215,Carol Darley,Standard Class,78.8528,2,0.32,-11.596,Consumer,Central,Texas,Bookcases                                         ,Furniture,4,2016-12-28,2017-01-01
216,Stefanie Holloman,Second Class,231.92,5,0.2,5.798,Corporate,South,Florida,Bookcases                                         ,Furniture,3,2014-07-17,2014-07-20
217,Noel Staavos,Second Class,86.97,3,0.5,-48.7032,Home Office,East,Ohio,Bookcases                                         ,Furniture,4,2015-11-21,2015-11-25
218,Noel Staavos,Standard Class,231.92,5,0.2,5.798,Consumer,South,North Carolina,Bookcases                                         ,Furniture,4,2016-02-26,2016-03-01
219,Noel Staavos,Standard Class,173.94,3,0.0,38.2668,Corporate,East,Maryland,Bookcases                                         ,Furniture,5,2015-01-02,2015-01-07
220,Noel Staavos,Second Class,46.384,1,0.2,1.1596,Corporate,East,New York,Bookcases                                         ,Furniture,4,2014-09-15,2014-09-19
221,Noel Staavos,Second Class,344.981,7,0.15,28.4102,Consumer,West,California,Bookcases                                         ,Furniture,2,2016-04-25,2016-04-27
222,Shahid Shariari,Standard Class,115.96,2,0.0,25.5112,Consumer,West,Washington,Bookcases                                         ,Furniture,4,2016-07-29,2016-08-02
223,Shahid Shariari,Standard Class,115.96,4,0.5,-64.9376,Corporate,East,Ohio,Bookcases                                         ,Furniture,4,2016-05-28,2016-06-01
229,Carl Ludwig,First Class,1212.96,7,0.2,90.972,Consumer,West,California,Bookcases                                         ,Furniture,3,2016-06-16,2016-06-19
231,Don Miller,Standard Class,1212.96,8,0.3,-69.312,Corporate,Central,Texas,Bookcases                                         ,Furniture,5,2013-05-11,2013-05-16
233,Linda Southworth,Second Class,909.72,6,0.3,-51.984,Consumer,East,Ohio,Bookcases                                         ,Furniture,2,2013-12-01,2013-12-03
237,Liz MacKendrick,Standard Class,478.48,2,0.2,47.848,Home Office,West,California,Chairs                                            ,Furniture,6,2013-07-06,2013-07-12
238,Liz MacKendrick,Second Class,717.72,3,0.2,71.772,Consumer,West,California,Chairs                                            ,Furniture,2,2013-07-22,2013-07-24
239,Rick Wilson,First Class,478.48,2,0.2,47.848,Corporate,West,Oregon,Chairs                                            ,Furniture,1,2016-10-21,2016-10-22
240,Aleksandra Gannaway,First Class,717.72,3,0.2,71.772,Corporate,West,California,Chairs                                            ,Furniture,2,2014-09-13,2014-09-15
241,Aleksandra Gannaway,Standard Class,518.272,8,0.2,-97.176,Home Office,West,California,Chairs                                            ,Furniture,4,2016-05-20,2016-05-24
242,Aleksandra Gannaway,Standard Class,129.568,2,0.2,-24.294,Consumer,West,California,Chairs                                            ,Furniture,6,2013-02-12,2013-02-18
243,Sean Christensen,Second Class,56.686,1,0.3,-20.245,Corporate,Central,Texas,Chairs                                            ,Furniture,4,2014-04-18,2014-04-22
244,John Lucas,Standard Class,647.84,8,0.0,32.392,Consumer,Central,Indiana,Chairs                                            ,Furniture,6,2013-06-16,2013-06-22
245,Nona Balk,First Class,194.352,3,0.2,-36.441,Consumer,West,California,Chairs                                            ,Furniture,2,2015-04-13,2015-04-15
246,Art Ferguson,Standard Class,145.764,2,0.1,-8.098,Home Office,East,New York,Chairs                                            ,Furniture,4,2015-08-13,2015-08-17
247,Ed Ludwig,Standard Class,64.784,1,0.2,-12.147,Corporate,South,Florida,Chairs                                            ,Furniture,6,2016-12-11,2016-12-17
248,Ed Ludwig,First Class,433.568,2,0.2,-65.0352,Consumer,West,California,Chairs                                            ,Furniture,2,2013-10-11,2013-10-13
249,Annie Cyprus,Second Class,650.352,3,0.2,-97.5528,Corporate,West,Oregon,Chairs                                            ,Furniture,2,2015-11-05,2015-11-07
252,Lisa Hazard,Second Class,887.271,3,0.3,-63.3765,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,5,2016-01-20,2016-01-25
253,Lisa Hazard,First Class,1352.032,4,0.2,84.502,Corporate,West,California,Chairs                                            ,Furniture,1,2015-03-16,2015-03-17
256,Carlos Soltero,Standard Class,887.271,3,0.3,-63.3765,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,4,2015-09-06,2015-09-10
257,Joni Blumstein,Standard Class,127.386,2,0.3,-25.4772,Consumer,Central,Illinois,Chairs                                            ,Furniture,5,2016-11-18,2016-11-23
258,Deanra Eno,Standard Class,191.079,3,0.3,-38.2158,Consumer,Central,Illinois,Chairs                                            ,Furniture,4,2015-06-01,2015-06-05
259,Trudy Schmidt,Standard Class,218.376,3,0.2,-10.9188,Consumer,South,Tennessee,Chairs                                            ,Furniture,4,2013-03-21,2013-03-25
260,Trudy Schmidt,Second Class,272.97,3,0.0,43.6752,Corporate,East,Maryland,Chairs                                            ,Furniture,2,2016-11-07,2016-11-09
261,Becky Pak,Standard Class,90.99,1,0.0,14.5584,Corporate,Central,Wisconsin,Chairs                                            ,Furniture,6,2016-03-25,2016-03-31
262,Becky Pak,Standard Class,291.168,4,0.2,-14.5584,Consumer,West,Oregon,Chairs                                            ,Furniture,4,2014-10-05,2014-10-09
